Time,Range,Vel,Lat_nominal,Lon_nominal,Alt_nominal,Alt_90km,Lat_90km,Lon_90km
220.3,126.9,1180.6,66.263908,-147.267975,373.3,89.9253257172068,66.75515848220795,-146.91424038610091
220.4,126.9,1179.8,66.264458,-147.267868,373.4,89.92283210056004,66.75586381914293,-146.91401304226437
220.5,127.0,1179.1,66.264999,-147.267761,373.5,89.92052596537872,66.75656007740898,-146.91378589641943
220.6,127.0,1178.4,66.265549,-147.267654,373.6,89.91800969348503,66.75726542338707,-146.91355853360278
220.7,127.1,1177.6,66.26609,-147.267548,373.7,89.9156848962954,66.75796168953238,-146.91333237740562
220.8,127.2,1176.9,66.26664,-147.267441,373.8,89.99887883961482,66.7585185252944,-146.91321604704294
220.9,127.2,1176.2,66.267181,-147.267334,373.9,89.99653274816295,66.75921479953212,-146.91298886904997
221.0,127.3,1175.4,66.267731,-147.267227,374.0,89.99397627332621,66.75992016157618,-146.91276147383664
221.1,127.3,1174.7,66.268272,-147.267105,374.1,89.99154993158864,66.76061646142047,-146.91251914973975
221.2,127.4,1174.0,66.268822,-147.266998,374.2,89.98897076618438,66.76132183251909,-146.912291735487
221.3,127.5,1173.2,66.269363,-147.266891,374.3,89.9865796184713,66.76201812474137,-146.91206451976944
221.4,127.5,1172.5,66.269913,-147.266785,374.4,89.98398163341552,66.76272350377855,-146.91183809500868
221.5,127.6,1171.8,66.270454,-147.266678,374.4,89.97157872503793,66.76326963845611,-146.9117176736721
221.6,127.6,1171.0,66.271004,-147.266571,374.5,89.96896079641415,66.76397502495293,-146.9114902258937
221.7,127.7,1170.3,66.271545,-147.266464,374.6,89.96653112109684,66.76467133248536,-146.91126297688933
221.8,127.8,1169.6,66.272095,-147.266357,374.7,89.96389051103597,66.76537672803236,-146.91103551010002
221.9,127.8,1168.8,66.272636,-147.266251,374.8,89.9614421630436,66.76607304344556,-146.91080925074266
222.0,127.9,1168.1,66.273186,-147.266144,374.9,89.95877886838097,66.76677844804348,-146.91058176493988
222.1,128.0,1167.4,66.273727,-147.266022,375.0,89.9562461872535,66.7674747902519,-146.91033935054904
222.2,128.0,1166.7,66.274277,-147.265915,375.1,89.95356017972219,66.7681802039103,-146.91011184568032
222.3,128.1,1165.9,66.274818,-147.265808,375.2,89.95106287316909,66.76887653843094,-146.9098845400434
222.4,128.1,1165.2,66.275368,-147.265701,375.3,89.94835417025183,66.76958196114329,-146.90965701614707
222.5,128.2,1164.5,66.275909,-147.265594,375.4,89.94583431760368,66.77027830466004,-146.90942969163527
222.6,128.3,1163.7,66.276459,-147.265488,375.5,89.94310678456479,66.77098373531223,-146.9092031572315
222.7,128.3,1163.0,66.277,-147.265381,375.6,89.94056438268944,66.77168008782583,-146.90897581384212
222.8,128.4,1162.3,66.27755,-147.265274,375.7,89.93781027653263,66.77238552864927,-146.9087482518767
222.9,128.4,1161.5,66.278091,-147.265167,375.8,89.93524531934129,66.77308189016144,-146.90852088960125
223.0,128.5,1160.8,66.278633,-147.26506,375.9,89.93264682990589,66.77377926547918,-146.90829349466088
223.1,128.6,1160.1,66.279182,-147.264938,376.0,89.92982282735458,66.77448372732327,-146.90805079931806
223.2,128.6,1159.4,66.279724,-147.264832,376.1,89.92720561549369,66.77518111053736,-146.90782439396554
223.3,128.7,1158.6,66.280273,-147.264725,376.2,89.92441705218793,66.77588556467309,-146.90759680765248
223.4,128.7,1157.9,66.280815,-147.264618,376.3,89.92177337933467,66.7765829580133,-146.90736937484235
223.5,128.8,1157.2,66.281357,-147.264511,376.4,89.91911844239524,66.77728035584668,-146.9071419326017
223.6,128.9,1156.5,66.281906,-147.264404,376.5,89.91629585075589,66.77798482355294,-146.90691431775528
223.7,128.9,1155.7,66.282448,-147.264297,376.6,89.99949754316464,66.77853365328222,-146.9067980652091
223.8,129.0,1155.0,66.282997,-147.264191,376.7,89.99666125015499,66.779238126901,-146.90657144545784
223.9,129.0,1154.3,66.283539,-147.264084,376.8,89.99396620555757,66.77993554075127,-146.9063439708987
224.0,129.1,1153.6,66.284088,-147.263962,376.9,89.99104497127695,66.7806400413834,-146.9061011950778
224.1,129.2,1152.8,66.28463,-147.263855,377.0,89.98832730538801,66.78133746425395,-146.90587370153926
224.2,129.2,1152.1,66.285179,-147.263748,377.1,89.98544167053552,66.78204195711726,-146.9056460350755
224.3,129.3,1151.4,66.285721,-147.263641,377.2,89.98270140086751,66.78273938900143,-146.90541852259594
224.4,129.4,1150.7,66.28627,-147.263535,377.2,89.96999407467264,66.78329364684893,-146.90529878682287
224.5,129.4,1149.9,66.286812,-147.263428,377.3,89.96723774182256,66.7839910850688,-146.9050712598399
224.6,129.5,1149.2,66.287361,-147.263321,377.4,89.96431324855743,66.78469559335203,-146.90484355973658
224.7,129.5,1148.5,66.287903,-147.263214,377.5,89.961534303641,66.78539304058768,-146.90461601380284
224.8,129.6,1147.8,66.288452,-147.263107,377.6,89.95858707770718,66.78609755793285,-146.90438829462477
